StudyID,TagID,Weight,FL,Rsite,RDt,FreeportDt,J1Dt,J1DetSite,J2Dt,J2DetSite,RioVistaDT,LowerMokDt,LowerMokDetSite,ChippsDt
USFWS-PB-01,1513D,49.58,163,SacOldSac,05DEC2006:09:25:00,05DEC2006:23:44:30,,,07DEC2006:06:59:59,SR_DCCNorth,,,,
USFWS-PB-01,1505D,85.15,184,SacOldSac,05DEC2006:09:25:00,06DEC2006:02:51:27,07DEC2006:07:06:32,SR_SutterSlough,,,10DEC2006:17:45:28,,,
USFWS-PB-01,1446D,83,190,SacOldSac,05DEC2006:09:25:00,06DEC2006:07:41:53,,,15DEC2006:16:14:09,SR_DCCNorth,16DEC2006:05:30:31,,,28DEC2006:16:24:38
USFWS-PB-01,1499D,44.6,154,SacOldSac,05DEC2006:09:25:00,06DEC2006:04:17:36,,,12DEC2006:00:28:55,SR_DCCNorth,,,,
USFWS-PB-01,1497D,61.5,167,SacOldSac,05DEC2006:09:25:00,05DEC2006:22:15:53,,,08DEC2006:04:04:41,SR_DCCNorth,,11DEC2006:08:42:31,Mok_PotatoS,
USFWS-PB-01,1494D,51.2,163,SacOldSac,05DEC2006:09:25:00,05DEC2006:22:16:58,07DEC2006:02:50:04,SR_SutterSlough,,,,,,
USFWS-PB-01,1481D,48.39,156,SacOldSac,05DEC2006:09:25:00,06DEC2006:02:16:54,08DEC2006:00:46:25,SR_Steamboat,,,12DEC2006:16:23:09,,,30DEC2006:18:16:47
USFWS-PB-01,1501D,41.33,148,SacOldSac,05DEC2006:09:25:00,06DEC2006:06:44:41,,,08DEC2006:05:39:17,SR_DCCNorth,,16DEC2006:07:36:40,Mok_GeorgianaS,
USFWS-PB-01,1503D,49.2,156,SacOldSac,05DEC2006:09:25:00,06DEC2006:01:19:06,,,,,,,,
USFWS-PB-01,1495D,43.32,149,SacOldSac,05DEC2006:09:25:00,05DEC2006:22:00:39,,,07DEC2006:03:01:38,SR_DCCNorth,,,,
USFWS-PB-01,1498D,58.79,164,SacOldSac,05DEC2006:09:25:00,06DEC2006:01:57:05,07DEC2006:02:21:28,SR_SutterSlough,,,10DEC2006:05:42:24,,,21DEC2006:05:58:27
USFWS-PB-01,1480D,60.21,166,SacOldSac,05DEC2006:09:25:00,05DEC2006:21:50:49,,,07DEC2006:04:29:58,SR_DCCNorth,,,,
USFWS-PB-01,1504D,59.4,170,SacOldSac,05DEC2006:09:25:00,06DEC2006:01:30:13,,,09DEC2006:23:44:49,SR_DCCNorth,12DEC2006:06:20:45,,,
USFWS-PB-01,1500D,65.3,175,SacOldSac,05DEC2006:09:25:00,06DEC2006:02:03:33,,,07DEC2006:22:44:31,SR_DCCNorth,09DEC2006:22:25:06,,,
USFWS-PB-01,1445D,55.15,161,SacOldSac,05DEC2006:09:25:00,06DEC2006:11:22:11,07DEC2006:13:43:22,SR_SutterSlough,07DEC2006:17:39:10,SR_DCCNorth,10DEC2006:01:43:42,,,
USFWS-PB-01,1444D,51.95,163,SacOldSac,05DEC2006:13:14:00,07DEC2006:00:19:06,09DEC2006:02:36:27,SR_SutterSlough,,,,,,
USFWS-PB-01,1479D,71.34,174,SacOldSac,05DEC2006:13:14:00,15DEC2006:22:03:08,,,16DEC2006:16:16:49,SR_DCCNorth,17DEC2006:07:00:27,,,20DEC2006:23:08:56
USFWS-PB-01,1447D,66.04,173,SacOldSac,05DEC2006:13:14:00,06DEC2006:05:02:59,,,08DEC2006:02:44:33,SR_DCCNorth,,15JAN2007:23:03:38,Mok_GeorgianaS,
USFWS-PB-01,1490D,60.6,170,SacOldSac,05DEC2006:13:14:00,07DEC2006:01:51:58,,,11DEC2006:17:29:50,SR_DCCNorth,,,,
USFWS-PB-01,1452D,51,165,SacOldSac,05DEC2006:13:14:00,07DEC2006:02:22:52,12DEC2006:05:20:37,SR_SutterSlough,,,,,,
USFWS-PB-01,1488D,93.6,197,SacOldSac,05DEC2006:13:14:00,06DEC2006:01:56:19,07DEC2006:21:58:36,SR_SutterSlough,,,,,,
USFWS-PB-01,1486D,70,178,SacOldSac,05DEC2006:13:14:00,06DEC2006:04:15:39,,,12DEC2006:23:31:15,SR_DCCNorth,15DEC2006:00:18:34,,,
USFWS-PB-01,1485D,48.1,163,SacOldSac,05DEC2006:13:14:00,06DEC2006:10:49:16,,,08DEC2006:03:46:32,SR_DCCNorth,,09DEC2006:12:37:00,Mok_GeorgianaS,
USFWS-PB-01,1478D,76.5,182,SacOldSac,05DEC2006:13:14:00,06DEC2006:02:34:49,07DEC2006:23:36:48,SR_SutterSlough,09DEC2006:04:03:45,SR_DCCNorth,,,,
USFWS-PB-01,1484D,61.3,170,SacOldSac,05DEC2006:13:14:00,06DEC2006:05:36:46,,,08DEC2006:04:38:49,SR_DCCNorth,,,,
USFWS-PB-01,1443D,73.8,183,SacOldSac,05DEC2006:13:14:00,06DEC2006:04:10:13,,,08DEC2006:04:19:44,SR_DCCNorth,,,,
USFWS-PB-01,1442D,110,204,SacOldSac,05DEC2006:13:14:00,06DEC2006:03:48:14,,,09DEC2006:02:21:02,SR_DCCNorth,,12DEC2006:18:17:02,Mok_GeorgianaS,19DEC2006:08:17:32
USFWS-PB-01,1482D,52.14,162,SacOldSac,05DEC2006:13:14:00,06DEC2006:01:48:00,,,07DEC2006:06:24:08,SR_DCCNorth,,,,18DEC2006:18:26:02
USFWS-PB-01,1487D,71.27,175,SacOldSac,05DEC2006:13:14:00,06DEC2006:00:47:30,,,07DEC2006:03:15:42,SR_DCCNorth,21DEC2006:04:30:55,,,30DEC2006:17:58:37
USFWS-PB-01,1489D,71.62,176,SacOldSac,05DEC2006:13:14:00,10DEC2006:22:30:47,,,14DEC2006:01:56:07,SR_DCCNorth,,,,
USFWS-PB-01,1511D,53.04,166,SacOldSac,05DEC2006:13:14:00,14DEC2006:12:05:38,15DEC2006:07:09:42,SR_SutterSlough,,,18DEC2006:21:28:50,,,23DEC2006:16:46:28
USFWS-PB-01,1512D,74,181,SacOldSac,05DEC2006:13:14:00,09DEC2006:23:16:56,12DEC2006:17:10:39,SR_SutterSlough,,,15DEC2006:19:34:07,,,
USFWS-PB-01,1493D,58.29,172,SacOldSac,05DEC2006:13:14:00,06DEC2006:22:01:13,,,10DEC2006:05:39:53,SR_DCCNorth,,15DEC2006:11:28:45,Mok_PotatoS,
USFWS-PB-01,1472D,48.6,158,SacOldSac,05DEC2006:19:33:00,06DEC2006:23:14:01,,,09DEC2006:22:03:21,SR_DCCNorth,12DEC2006:01:13:39,,,
USFWS-PB-01,1471D,48.06,162,SacOldSac,05DEC2006:19:33:00,09DEC2006:02:13:11,,,11DEC2006:05:29:48,SR_DCCNorth,13DEC2006:17:19:31,,,
USFWS-PB-01,1469D,45.1,155,SacOldSac,05DEC2006:19:33:00,06DEC2006:19:27:13,08DEC2006:01:41:15,SR_Steamboat,,,10DEC2006:00:25:06,,,
USFWS-PB-01,1468D,47.7,157,SacOldSac,05DEC2006:19:33:00,08DEC2006:01:48:08,,,09DEC2006:21:56:34,SR_DCCNorth,,,,
USFWS-PB-01,1496D,60.3,169,SacOldSac,05DEC2006:19:33:00,07DEC2006:02:34:23,,,14DEC2006:05:31:14,SR_DCCNorth,,16DEC2006:08:20:35,Mok_GeorgianaS,20DEC2006:08:42:22
USFWS-PB-01,1467D,65.39,175,SacOldSac,05DEC2006:19:33:00,,,,,,,,,
USFWS-PB-01,1466D,49.3,159,SacOldSac,05DEC2006:19:33:00,06DEC2006:23:44:51,,,11DEC2006:05:42:30,SR_DCCNorth,,,,
USFWS-PB-01,1492D,39.9,152,SacOldSac,05DEC2006:19:33:00,06DEC2006:23:38:14,,,,,11DEC2006:06:38:58,,,13DEC2006:04:01:59
USFWS-PB-01,1465D,61.9,175,SacOldSac,05DEC2006:19:33:00,07DEC2006:22:30:56,,,,,,,,
USFWS-PB-01,1475D,38.72,151,SacOldSac,05DEC2006:19:33:00,06DEC2006:23:13:12,11DEC2006:05:04:31,SR_SutterSlough,,,,,,
USFWS-PB-01,1509D,49.6,164,SacOldSac,05DEC2006:19:33:00,07DEC2006:01:11:11,08DEC2006:23:04:36,SR_SutterSlough,,,,,,
USFWS-PB-01,1474D,57.5,169,SacOldSac,05DEC2006:19:33:00,08DEC2006:03:30:24,,,,,,,,
