"","TagID","FL_mm"
"1","1134289",266
"2","1134293",208
"3","1134297",229
"4","1134290",206
"5","1134294",187
"6","1134298",192
"7","1134295",229
"8","1134299",247
"9","1134819",250
"10","1134292",218
"11","1134296",199
"12","1134300",194
"13","1134301",228
"14","1134305",229
"15","1134309",228
"16","1134306",205
"17","1134310",222
"18","1134318",250
"19","1134303",240
"20","1134307",245
"21","1134311",217
"22","1134308",221
"23","1134312",219
"24","1134343",222
"25","1134302",219
"26","1134325",204
"27","1134345",203
"28","1134315",231
"29","1134322",228
"30","1134326",223
"31","1134316",221
"32","1134323",222
"33","1134327",228
"34","1134313",231
"35","1134317",221
"36","1134324",204
"37","1134328",234
"38","1134332",199
"39","1134336",260
"40","1134314",238
"41","1134337",178
"42","1134341",206
"43","1134330",204
"44","1134334",196
"45","1134338",233
"46","1134331",220
"47","1134335",183
"48","1134339",240
"49","1134340",219
"50","1134342",214
"51","1134344",232
"52","1134304",222
"53","1134329",230
"54","1134346",205
"55","1134348",212
"56","1134821",279
"57","1134347",194
"58","1134349",213
"59","1134354",244
"60","1134355",235
"61","1134359",234
"62","1134363",222
"63","1134356",211
"64","1134360",217
"65","1134364",241
"66","1134357",249
"67","1134361",231
"68","1134365",195
"69","1134358",215
"70","1134362",206
"71","1134366",247
"72","1134367",212
"73","1134371",223
"74","1134375",239
"75","1134368",247
"76","1134372",219
"77","1134376",231
"78","1134369",248
"79","1134373",260
"80","1134377",226
"81","1134370",240
"82","1134374",219
"83","1134378",217
"84","1134379",214
"85","1134383",223
"86","1134390",258
"87","1134380",198
"88","1134387",219
"89","1134391",238
"90","1134381",240
"91","1134388",228
"92","1134392",241
"93","1134382",216
"94","1134389",236
"95","1134393",188
"96","1134394",185
"97","1134398",214
"98","1134402",231
"99","1134395",244
"100","1134399",241
"101","1134403",213
"102","1134396",179
"103","1134400",226
"104","1134404",196
"105","1134397",212
"106","1134401",175
"107","1134405",239
"108","1134406",182
"109","1134410",199
"110","1134414",245
"111","1134407",214
"112","1134411",211
"113","1134415",236
"114","1134408",212
"115","1134412",196
"116","1134416",210
"117","1134409",219
"118","1134413",226
"119","1134417",211
"120","1134421",255
"121","1134425",228
"122","1134429",206
"123","1134422",255
"124","1134426",232
"125","1134430",227
"126","1134423",216
"127","1134427",216
"128","1134431",216
"129","1134424",199
"130","1134428",221
"131","1134432",249
"132","1134433",234
"133","1134437",203
"134","1134441",226
"135","1134434",220
"136","1134438",233
"137","1134442",229
"138","1134435",253
"139","1134439",205
"140","1134443",200
"141","1134436",204
"142","1134440",207
"143","1134444",224
"144","1134445",216
"145","1134449",254
"146","1134456",220
"147","1134446",237
"148","1134450",244
"149","1134457",220
"150","1134447",211
"151","1134454",244
"152","1134458",234
"153","1134448",208
"154","1134455",247
"155","1134463",175
"156","1134460",189
"157","1134462",187
"158","1134464",202
"159","1134459",241
"160","1134461",215
"161","1134465",194
"162","1134474",184
"163","1134478",260
"164","1134482",224
"165","1134475",235
"166","1134479",224
"167","1134486",224
"168","1134420",228
"169","1134472",231
"170","1134480",227
"171","1134351",238
"172","1134473",220
"173","1134477",228
"174","1134489",234
"175","1134493",211
"176","1134497",217
"177","1134490",232
"178","1134494",223
"179","1134498",199
"180","1134487",219
"181","1134491",215
"182","1134495",209
"183","1134488",222
"184","1134492",248
"185","1134496",247
"186","1134501",203
"187","1134505",257
"188","1134509",233
"189","1134502",207
"190","1134510",234
"191","1134514",235
"192","1134499",229
"193","1134503",246
"194","1134507",220
"195","1134500",174
"196","1134504",228
"197","1134508",226
"198","1134513",241
"199","1134520",207
"200","1134524",224
"201","1134506",260
"202","1134521",186
"203","1134525",199
"204","1134511",233
"205","1134515",219
"206","1134522",176
"207","1134512",216
"208","1134519",225
"209","1134523",236
"210","1134466",247
"211","1134467",219
"212","1134470",222
"213","1134468",215
"214","1134469",213
"215","1134471",227
"216","1134526",238
"217","1134530",238
"218","1134531",227
"219","1134527",233
"220","1134528",204
"221","1134529",248
"222","1134532",197
"223","1134536",230
"224","1134540",248
"225","1134533",247
"226","1134537",240
"227","1134541",233
"228","1134534",227
"229","1134538",262
"230","1134542",233
"231","1134535",224
"232","1134539",208
"233","1134543",201
"234","1134544",202
"235","1134548",210
"236","1134555",232
"237","1134545",238
"238","1134552",237
"239","1134556",239
"240","1134546",201
"241","1134553",226
"242","1134557",202
"243","1134547",236
"244","1134554",194
"245","1134558",276
"246","1134559",252
"247","1134563",223
"248","1134567",202
"249","1134560",255
"250","1134564",216
"251","1134568",116
"252","1134561",209
"253","1134565",241
"254","1134569",203
"255","1134562",226
"256","1134566",169
"257","1134570",243
"258","1134550",192
"259","1134571",214
"260","1134579",222
"261","1134572",206
"262","1134576",192
"263","1134580",207
"264","1134573",189
"265","1134577",226
"266","1134581",240
"267","1134574",204
"268","1134578",210
"269","1134582",207
"270","1134594",236
"271","1134598",222
"272","1134602",208
"273","1134595",212
"274","1134599",201
"275","1134603",220
"276","1134592",195
"277","1134596",201
"278","1134600",207
"279","1134593",224
"280","1134597",234
"281","1134601",218
"282","1134606",201
"283","1134610",257
"284","1134614",229
"285","1134607",243
"286","1134611",236
"287","1134618",203
"288","1134604",255
"289","1134608",238
"290","1134612",253
"291","1134605",229
"292","1134609",198
"293","1134613",213
"294","1134622",139
"295","1134626",232
"296","1134630",198
"297","1134619",252
"298","1134623",228
"299","1134627",205
"300","1134620",243
"301","1134624",191
"302","1134628",216
"303","1134621",245
"304","1134625",185
"305","1134629",220
"306","1134633",225
"307","1134637",217
"308","1134641",224
"309","1134634",193
"310","1134638",226
"311","1134642",201
"312","1134631",213
"313","1134635",229
"314","1134639",206
"315","1134632",230
"316","1134636",207
"317","1134640",213
"318","1134587",229
"319","1134590",247
"320","1134591",220
"321","1134586",238
"322","1134588",196
"323","1134589",229
"324","1134647",210
"325","1134654",231
"326","1134658",213
"327","1134651",219
"328","1134655",222
"329","1134659",188
"330","1134652",214
"331","1134656",236
"332","1134660",226
"333","1134657",211
"334","1134661",213
"335","1134665",234
"336","1134662",252
"337","1134666",201
"338","1134670",264
"339","1134663",210
"340","1134667",215
"341","1134674",195
"342","1134664",206
"343","1134668",209
"344","1134675",202
"345","1134669",227
"346","1134676",209
"347","1134680",238
"348","1134678",220
"349","1134682",247
"350","1134686",208
"351","1134679",233
"352","1134683",216
"353","1134687",205
"354","1134684",211
"355","1134688",234
"356","1134692",209
"357","1134677",198
"358","1134681",234
"359","1134685",199
"360","1134689",225
"361","1134693",221
"362","1134697",229
"363","1134690",253
"364","1134694",211
"365","1134698",219
"366","1134691",250
"367","1134695",193
"368","1134699",225
"369","1134646",204
"370","1134696",228
"371","1134700",223
"372","1134643",164
"373","1134645",204
"374","1134644",209
"375","1134653",198
"376","1134701",218
"377","1134703",249
"378","1134702",201
"379","1134707",218
"380","1134761",199
"381","1134765",234
"382","1134811",204
"383","1134816",210
"384","1134712",226
"385","1134716",241
"386","1134720",235
"387","1134713",243
"388","1134717",222
"389","1134721",224
"390","1134718",224
"391","1134722",236
"392","1134726",209
"393","1134719",217
"394","1134723",238
"395","1134727",243
"396","1134724",201
"397","1134728",200
"398","1134732",249
"399","1134725",212
"400","1134729",174
"401","1134733",206
"402","1134730",187
"403","1134734",210
"404","1134738",203
"405","1134731",210
"406","1134735",199
"407","1134743",193
"408","1134736",193
"409","1134740",194
"410","1134744",214
"411","1134737",213
"412","1134741",228
"413","1134745",221
"414","1134585",222
"415","1134742",223
"416","1134746",215
"417","1134739",214
"418","1134750",191
"419","1134754",208
"420","1134751",223
"421","1134755",231
"422","1134757",220
"423","1134549",225
"424","1134756",226
"425","1134758",241
"426","1134708",218
"427","1134710",195
"428","1134714",221
"429","1134709",229
"430","1134711",185
"431","1134715",220
"432","1134759",228
"433","1134763",205
"434","1134767",216
"435","1134760",240
"436","1134764",223
"437","1134768",212
"438","1134769",238
"439","1134773",228
"440","1134777",218
"441","1134762",214
"442","1134766",221
"443","1134770",213
"444","1134771",246
"445","1134775",240
"446","1134779",219
"447","1134772",225
"448","1134776",242
"449","1134783",245
"450","1134784",211
"451","1134788",242
"452","1134792",209
"453","1134774",201
"454","1134778",200
"455","1134785",210
"456","1134786",221
"457","1134790",246
"458","1134794",226
"459","1134787",219
"460","1134791",229
"461","1134795",220
"462","1134796",224
"463","1134800",222
"464","1134804",244
"465","1134789",228
"466","1134793",221
"467","1134797",189
"468","1134798",173
"469","1134802",211
"470","1134806",230
"471","1134799",238
"472","1134803",206
"473","1134807",234
"474","1134808",182
"475","1134810",209
"476","1134812",224
"477","1134801",224
"478","1134805",194
"479","1134809",210
"480","1134830",249
"481","1134834",216
"482","1134838",221
"483","1134823",206
"484","1134827",268
"485","1134835",263
"486","1134828",259
"487","1134832",225
"488","1134836",245
"489","1134825",233
"490","1134829",204
"491","1134833",232
"492","1134842",227
"493","1134846",226
"494","1134850",246
"495","1134847",235
"496","1134851",223
"497","1134855",235
"498","1134840",238
"499","1134844",234
"500","1134848",219
"501","1134841",224
"502","1134845",202
"503","1134849",197
"504","1134859",232
"505","1134863",254
"506","1134867",218
"507","1134852",200
"508","1134856",219
"509","1134860",216
"510","1134853",259
"511","1134861",228
"512","1135303",224
"513","1134854",246
"514","1134858",244
"515","1134862",226
"516","1134866",241
"517","1134870",219
"518","1134874",250
"519","1134831",234
"520","1134871",238
"521","1134875",220
"522","1134864",231
"523","1134868",244
"524","1134872",235
"525","1134865",245
"526","1134869",243
"527","1134873",224
"528","1134822",260
"529","1134824",221
"530","1134826",248
"531","1134837",239
"532","1134839",249
"533","1134843",242
"534","1134876",224
"535","1134878",210
"536","1134880",239
"537","1134877",240
"538","1134879",228
"539","1134881",202
"540","1134882",260
"541","1134886",220
"542","1134890",229
"543","1134883",243
"544","1134887",225
"545","1134895",221
"546","1134884",235
"547","1134888",235
"548","1134892",259
"549","1134885",230
"550","1134889",211
"551","1134893",227
"552","1134894",200
"553","1134898",220
"554","1134902",212
"555","1134899",242
"556","1134903",248
"557","1134907",230
"558","1134896",250
"559","1134900",216
"560","1135302",212
"561","1134897",233
"562","1134901",210
"563","1134905",218
"564","1134906",238
"565","1134910",212
"566","1134914",184
"567","1134911",244
"568","1134915",250
"569","1134919",223
"570","1134908",230
"571","1134912",252
"572","1134916",219
"573","1134909",240
"574","1134913",203
"575","1134917",234
"576","1134918",227
"577","1134922",209
"578","1134926",227
"579","1134891",208
"580","1134923",261
"581","1137927",253
"582","1134920",215
"583","1134924",205
"584","1134928",240
"585","1134921",247
"586","1134925",236
"587","1134929",261
"588","1134938",241
"589","1134942",229
"590","1134946",263
"591","1134939",237
"592","1134943",213
"593","1134947",240
"594","1134936",245
"595","1134940",256
"596","1134944",239
"597","1134937",219
"598","1134941",219
"599","1134945",219
"600","1134950",253
"601","1134954",226
"602","1134958",239
"603","1134951",226
"604","1134955",242
"605","1134959",200
"606","1134948",223
"607","1134952",219
"608","1135304",245
"609","1134949",254
"610","1134953",207
"611","1134957",253
"612","1134962",227
"613","1134966",217
"614","1134970",209
"615","1134963",238
"616","1134967",251
"617","1134971",231
"618","1134960",241
"619","1134964",235
"620","1134968",254
"621","1134961",223
"622","1134965",252
"623","1134969",183
"624","1134974",242
"625","1134978",226
"626","1134982",214
"627","1134975",274
"628","1134979",270
"629","1134983",242
"630","1134972",245
"631","1134976",256
"632","1134980",245
"633","1134973",224
"634","1134977",219
"635","1134981",232
"636","1134930",207
"637","1134932",221
"638","1134934",248
"639","1134931",259
"640","1134933",249
"641","1134935",216
"802","1134984",254
"803","1134988",209
"804","1134992",213
"805","1134993",227
"806","1134997",228
"807","1135005",261
"808","1134990",285
"809","1134994",216
"810","1134998",237
"811","1134991",214
"812","1134995",212
"813","1134999",232
"814","1134996",198
"815","1135000",206
"816","1135004",203
"817","1135009",232
"818","1135013",235
"819","1135017",237
"820","1135002",206
