Location,Lat,Lon,releases
Chipps,38.04636667,-121.92035,12345678
Georg_SloughN,38.23725,-121.5176167,3
Georg_SloughN1,38.23006,-121.52337,56
Mok_GeorgianaS,38.12671667,-121.5777833,12345678
Mok_PotatoS,38.11695,-121.49885,12345678
Mok_Tower_Pk,38.10985,-121.5004,12345678
Mok_Will_Berm_Mar,38.10607,-121.56878,12345678
RioVista,38.15673333,-121.67955,12345678
SR_BlwGeorgiana,38.23961,-121.52519,5678
SR_BlwSteam,38.29981667,-121.5697833,25678
SR_DCC,38.24488333,-121.5049833,57
SR_DCCNorth,38.25708333,-121.517,1234
SR_DCCSouth,38.24175,-121.5148,5678
SR_Freeport,38.45556667,-121.5022,12345678
SR_Steamboat,38.28498333,-121.5868333,12345678
SR_SutterSlough,38.3286,-121.5778,12
SR_SutterSlough1,38.33188,-121.58284,345678
SR_SutterSlough2,38.33093,-121.58017,78
Steam_Marina,38.30286,-121.57902,78
