Lat,Long,Station
38.023561,-121.465394,A8
38.053871,-121.512696,A9
38.056283,-121.665173,H1
38.052131,-121.692413,G1
38.047172,-121.913844,G2
38.114954,-121.683772,T1
37.990985,-121.456484,F1
37.940184,-121.532783,C3
37.893624,-121.567492,B3
37.892815,-121.489288,C2
37.82957,-121.556801,D2
37.816614,-121.561634,E1
37.819969,-121.378866,B2
37.811639,-121.335663,B1
37.82529,-121.380769,C1
37.686805,-121.264705,Rel
37.727019,-121.298407,A3
37.795257,-121.308274,A4
37.81076,-121.321703,A5
37.934996,-121.329927,A6
37.946739,-121.338851,A7
37.691169,-121.273444,A2
37.967617,-121.573325,B4
37.831656,-121.547789,D1
37.805544,-121.320425,B0
