Position,dEpsVdz
0.001,0
0.003,0.00012259
0.005,0.00024518
0.007,0.00036777
0.009,0.00049036
0.011,0.00061295
0.013,0.00073554
0.015,0.00085813
0.017,0.00098072
0.019,0.00110331
0.021,0.0012259
0.023,0.00134849
0.025,0.00147108
0.027,0.00159367
0.029,0.00171626
0.031,0.00183885
0.033,0.00196144
0.035,0.00208403
0.037,0.00220662
0.039,0.00232921
0.041,0.0024518
0.043,0.00257439
0.045,0.00269698
0.047,0.00281957
0.049,0.00294216
0.051,0.00306475
0.053,0.00318734
0.055,0.00330993
0.057,0.00343252
0.059,0.00355511
0.061,0.0036777
0.063,0.00380029
0.065,0.00392288
0.067,0.00404547
0.069,0.00416806
0.071,0.00429065
0.073,0.00441324
0.075,0.00453583
0.077,0.00465842
0.079,0.00478101
0.081,0.0049036
0.083,0.00502619
0.085,0.00514878
0.087,0.00527137
0.089,0.00539396
0.091,0.00551655
0.093,0.00563914
0.095,0.00576173
0.097,0.00588432
0.099,0.00600691
0.101,0.0061295
0.103,0.00625209
0.105,0.00637468
0.107,0.00649727
0.109,0.00661986
0.111,0.00674245
0.113,0.00686504
0.115,0.00698763
0.117,0.00711022
0.119,0.00723281
0.121,0.0073554
0.123,0.00747799
0.125,0.00760058
0.127,0.00772317
0.129,0.00784576
0.131,0.00796835
0.133,0.00809094
0.135,0.00821353
0.137,0.00833612
0.139,0.00845871
0.141,0.0085813
0.143,0.00870389
0.145,0.00882648
0.147,0.00894907
0.149,0.00907166
0.151,0.00919425
0.153,0.00931684
0.155,0.00943943
0.157,0.00956202
0.159,0.00968461
0.161,0.0098072
0.163,0.00992979
0.165,0.01005238
0.167,0.01017497
0.169,0.01029756
0.171,0.01042015
0.173,0.01054274
0.175,0.01066533
0.177,0.01078792
0.179,0.01091051
0.181,0.0110331
0.183,0.0111478486091658
0.185,0.0112526547331563
0.187,0.0113475183719714
0.189,0.0114324395256112
0.191,0.0115074181940756
0.193,0.0115724543773647
0.195,0.0116275480754785
0.197,0.0116726992884168
0.199,0.0117079080161799
0.201,0.0117331742587675
0.203,0.0117484980161799
