Position,theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,theta13,theta14,theta15,theta16,theta17,theta18,theta19,theta20,theta21,theta22,theta23,theta24,theta25,theta26,theta27,theta28,theta29,theta30,theta31,theta32,theta33,theta34,theta35,theta36,theta37,theta38,theta39,theta40,theta41,theta42,theta43,theta44,theta45,theta46,theta47,theta48,theta49,theta50,theta51,theta52,theta53,theta54,theta55,theta56,theta57,theta58,theta59,theta60,theta61,theta62,theta63,theta64,theta65
-0.999,0.145094199,0.147749544,0.150063155,0.152384355,0.154384823,0.156515669,0.158347212,0.160412191,0.162446285,0.165140647,0.168491983,0.173734342,0.183101024,0.200018836,0.231195166,0.288457077,0.383770881,0.394049493,0.394399187,0.394736552,0.395062362,0.395377326,0.395682087,0.395977238,0.396263321,0.396540834,0.396810239,0.397071961,0.397326392,0.397573899,0.397814819,0.398049468,0.398278141,0.398501112,0.398718636,0.398930954,0.39913829,0.399340856,0.399538851,0.399732459,0.399921858,0.400107213,0.400288679,0.400466405,0.400640531,0.400811188,0.400978502,0.401142592,0.401303569,0.401461542,0.401616613,0.401768877,0.401918428,0.402065353,0.402209736,0.402351656,0.402491192,0.402628414,0.402763393,0.402896197,0.403026888,0.403155527,0.403282175,0.403406886,0.399596512
-0.997,0.332083482,0.336930129,0.341438229,0.345676351,0.349683359,0.353551226,0.357368182,0.36134273,0.365799075,0.371390414,0.379282275,0.391673033,0.412569593,0.449111599,0.513774977,0.627654851,0.809929746,0.825683339,0.826259262,0.826814879,0.827351468,0.827870193,0.828372115,0.828858209,0.829329368,0.829786415,0.830230107,0.830661146,0.831080178,0.831487804,0.831884584,0.832271037,0.832647646,0.833014864,0.833373112,0.833722785,0.834064255,0.834397868,0.834723952,0.835042813,0.83535474,0.835660007,0.835958871,0.836251574,0.836538348,0.836819409,0.837094964,0.837365209,0.837630329,0.8378905,0.838145891,0.83839666,0.83864296,0.838884936,0.839122725,0.83935646,0.839586265,0.839812261,0.840034564,0.840253282,0.840468521,0.840680383,0.840888963,0.841094354,0.841261755
-0.995,0.397946344,0.402327756,0.406421036,0.410288837,0.413994772,0.417642614,0.421379951,0.42547503,0.4303787,0.436897604,0.446425338,0.461368647,0.485798652,0.526432068,0.594043066,0.705261129,0.871232788,0.884957052,0.88533826,0.885706028,0.886061202,0.88640455,0.886736777,0.887058527,0.887370391,0.887672915,0.887966599,0.888251906,0.888529267,0.888799079,0.889061712,0.889317508,0.889566789,0.889809853,0.890046981,0.890278433,0.890504455,0.890725277,0.890941114,0.891152171,0.891358639,0.891560697,0.891758518,0.891952261,0.892142079,0.892328116,0.892510508,0.892689386,0.892864871,0.893037081,0.893206126,0.893372113,0.893535141,0.893695307,0.893852701,0.894007412,0.894159522,0.894309111,0.894456255,0.894601027,0.894743496,0.894883729,0.89502179,0.89515774,0.895286105
-0.993,0.439466714,0.4435655,0.447412292,0.451074185,0.454632064,0.458210705,0.462000996,0.466327492,0.4717294,0.479120726,0.49002068,0.506920028,0.533824906,0.577007229,0.645971698,0.754510467,0.909389708,0.921828779,0.922088864,0.922339779,0.9225821,0.922816354,0.923043021,0.923262539,0.923475313,0.923681714,0.923882084,0.924076739,0.924265972,0.924450055,0.924629239,0.92480376,0.924973835,0.925139669,0.925301453,0.925459364,0.925613571,0.925764229,0.925911488,0.926055484,0.926196349,0.926334207,0.926469173,0.926601356,0.926730862,0.926857789,0.926982228,0.92710427,0.927223997,0.927341489,0.927456823,0.92757007,0.927681298,0.927790573,0.927897958,0.928003511,0.928107291,0.92820935,0.928309741,0.928408513,0.928505715,0.92860139,0.928695584,0.928788338,0.928881868
-0.991,0.470046142,0.473945778,0.477624848,0.481157503,0.484640263,0.488219672,0.492123343,0.496724677,0.502630985,0.510834299,0.522930312,0.541436637,0.570248709,0.615222078,0.684846657,0.790852315,0.937140969,0.948628615,0.948800662,0.948966644,0.94912694,0.949281901,0.949431841,0.949577054,0.949717804,0.949854339,0.949986885,0.95011565,0.950240829,0.9503626,0.950481132,0.950596578,0.950709083,0.950818783,0.950925804,0.951030263,0.951132271,0.951231932,0.951329344,0.951424598,0.951517781,0.951608975,0.951698255,0.951785695,0.951871364,0.951955326,0.952037644,0.952118375,0.952197575,0.952275296,0.95235159,0.952426503,0.952500081,0.952572367,0.952643403,0.952713227,0.952781877,0.95284939,0.952915799,0.952981137,0.953045436,0.953108726,0.953171036,0.953232393,0.95329816
-0.989,0.494306102,0.498056008,0.501614622,0.505064155,0.508515963,0.512137663,0.51618922,0.521086274,0.527490606,0.536452286,0.549614014,0.569488461,0.599841413,0.646145461,0.716046257,0.819671186,0.9588797,0.969609143,0.969712269,0.969811759,0.969907842,0.970000726,0.970090601,0.970177642,0.970262009,0.970343849,0.970423297,0.97050048,0.970575513,0.970648503,0.970719552,0.970788751,0.970856187,0.970921942,0.970986091,0.971048704,0.971109848,0.971169586,0.971227975,0.971285071,0.971340925,0.971395587,0.971449102,0.971501514,0.971552865,0.971603192,0.971652534,0.971700924,0.971748397,0.971794984,0.971840715,0.971885618,0.971929721,0.97197305,0.972015629,0.972057482,0.972098631,0.972139099,0.972178905,0.972218069,0.97225661,0.972294547,0.972331895,0.972368673,0.972411845
-0.987,0.514430315,0.518063764,0.521534055,0.524931897,0.528382855,0.532074577,0.53629594,0.541499283,0.548390752,0.558063974,0.572189034,0.593254215,0.624888032,0.672211288,0.742148612,0.843530188,0.976681777,0.986779903,0.986826623,0.986871696,0.986915225,0.986957305,0.986998022,0.987037455,0.987075676,0.987112753,0.987148746,0.987183712,0.987217705,0.987250773,0.98728296,0.98731431,0.987344861,0.987374651,0.987403712,0.987432079,0.987459779,0.987486843,0.987513295,0.987539162,0.987564466,0.98758923,0.987613474,0.987637219,0.987660483,0.987683283,0.987705636,0.987727559,0.987749066,0.987770172,0.98779089,0.987811232,0.987831213,0.987850842,0.987870132,0.987889093,0.987907736,0.987926069,0.987944102,0.987961845,0.987979306,0.987996493,0.988013413,0.988030075,0.988054376
-0.985,0.531631813,0.535173048,0.538578604,0.541947854,0.545420007,0.549201597,0.553607554,0.559122232,0.566488252,0.576831838,0.591836575,0.61395379,0.646672591,0.694789753,0.764602581,0.863861489,0.991700395,1.00125722,1.001256382,1.001255573,1.001254792,1.001254037,1.001253307,1.0012526,1.001251914,1.001251249,1.001250603,1.001249976,1.001249366,1.001248773,1.001248196,1.001247634,1.001247086,1.001246551,1.00124603,1.001245521,1.001245024,1.001244539,1.001244064,1.0012436,1.001243146,1.001242702,1.001242267,1.001241841,1.001241424,1.001241015,1.001240614,1.001240221,1.001239835,1.001239456,1.001239085,1.00123872,1.001238361,1.001238009,1.001237663,1.001237323,1.001236989,1.00123666,1.001236337,1.001236018,1.001235705,1.001235397,1.001235093,1.001234794,1.001242993
-0.983,0.546656457,0.550124118,0.553483178,0.556841696,0.560351972,0.564238299,0.568839176,0.574666978,0.582494432,0.593471787,0.609285899,0.632342751,0.665992786,0.714733225,0.784307926,0.881550069,1.004644671,1.013727513,1.013685711,1.013645381,1.013606433,1.013568782,1.01353235,1.013497067,1.013462869,1.013429694,1.013397489,1.013366202,1.013335787,1.0133062,1.0132774,1.013249349,1.013222013,1.013195359,1.013169356,1.013143975,1.01311919,1.013094975,1.013071306,1.013048162,1.013025521,1.013003363,1.01298167,1.012960424,1.012939609,1.012919208,1.012899207,1.012879592,1.012860348,1.012841464,1.012822927,1.012804725,1.012786847,1.012769283,1.012752024,1.012735058,1.012718378,1.012701974,1.012685838,1.012669963,1.01265434,1.012638962,1.012623822,1.012608914,1.012603135
-0.981,0.559996367,0.563405358,0.566732566,0.57009467,0.573656519,0.577659073,0.582462217,0.588602884,0.596878648,0.608456918,0.625020068,0.648923049,0.683379947,0.732610022,0.801863549,0.897182385,1.015982525,1.024643705,1.024566042,1.024491118,1.024418759,1.024348809,1.024281126,1.024215576,1.024152041,1.024090408,1.024030577,1.023972452,1.023915945,1.023860977,1.023807472,1.023755359,1.023704574,1.023655055,1.023606745,1.023559592,1.023513545,1.023468557,1.023424585,1.023381587,1.023339524,1.023298359,1.023258057,1.023218587,1.023179915,1.023142015,1.023104856,1.023068414,1.023032663,1.022997579,1.022963139,1.022929323,1.02289611,1.02286348,1.022831414,1.022799895,1.022768906,1.022738431,1.022708453,1.022678959,1.022649935,1.022621365,1.022593238,1.022565542,1.022547461
