Position,theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,theta13,theta14,theta15,theta16,theta17,theta18,theta19,theta20,theta21,theta22,theta23,theta24,theta25,theta26,theta27,theta28,theta29,theta30,theta31,theta32,theta33,theta34,theta35,theta36,theta37,theta38,theta39,theta40,theta41,theta42,theta43,theta44,theta45,theta46,theta47,theta48,theta49,theta50,theta51,theta52,theta53,theta54,theta55,theta56,theta57,theta58,theta59,theta60,theta61,theta62,theta63,theta64,theta65
-0.999,-7.64E-03,-9.74E-03,-1.27E-02,-1.72E-02,-2.35E-02,-3.24E-02,-4.40E-02,-5.75E-02,-6.98E-02,-8.17E-02,-9.85E-02,-1.07E-01,-1.00E-01,-8.24E-02,-5.60E-02,-2.37E-02,7.82E-03,9.51E-03,9.51E-03,9.51E-03,9.51E-03,9.51E-03,9.51E-03,9.51E-03,9.51E-03,9.51E-03,9.51E-03,9.51E-03,9.51E-03,9.51E-03,9.51E-03,9.51E-03,9.51E-03,9.51E-03,9.51E-03,9.51E-03,9.51E-03,9.51E-03,9.51E-03,9.51E-03,9.51E-03,9.51E-03,9.51E-03,9.51E-03,9.51E-03,9.51E-03,9.51E-03,9.51E-03,9.51E-03,9.51E-03,9.51E-03,9.51E-03,9.51E-03,9.51E-03,9.51E-03,9.51E-03,9.51E-03,9.51E-03,9.51E-03,9.51E-03,9.51E-03,9.51E-03,9.51E-03,9.51E-03,9.51E-03
-0.997,-8.07E-03,-1.04E-02,-1.36E-02,-1.83E-02,-2.49E-02,-3.38E-02,-4.51E-02,-5.70E-02,-6.92E-02,-7.76E-02,-9.34E-02,-9.29E-02,-8.34E-02,-6.62E-02,-4.36E-02,-1.76E-02,7.95E-03,9.52E-03,9.52E-03,9.52E-03,9.52E-03,9.52E-03,9.52E-03,9.52E-03,9.52E-03,9.52E-03,9.52E-03,9.52E-03,9.52E-03,9.52E-03,9.52E-03,9.52E-03,9.52E-03,9.52E-03,9.52E-03,9.52E-03,9.52E-03,9.52E-03,9.52E-03,9.52E-03,9.52E-03,9.52E-03,9.52E-03,9.52E-03,9.52E-03,9.52E-03,9.52E-03,9.52E-03,9.52E-03,9.52E-03,9.52E-03,9.52E-03,9.52E-03,9.52E-03,9.52E-03,9.52E-03,9.52E-03,9.52E-03,9.52E-03,9.52E-03,9.52E-03,9.52E-03,9.52E-03,9.52E-03,9.52E-03
-0.995,-8.49E-03,-1.09E-02,-1.44E-02,-1.92E-02,-2.59E-02,-3.48E-02,-4.57E-02,-5.63E-02,-6.74E-02,-7.70E-02,-8.71E-02,-8.49E-02,-7.49E-02,-5.88E-02,-3.84E-02,-1.51E-02,8.02E-03,9.53E-03,9.53E-03,9.53E-03,9.53E-03,9.53E-03,9.53E-03,9.53E-03,9.53E-03,9.53E-03,9.53E-03,9.53E-03,9.53E-03,9.53E-03,9.53E-03,9.53E-03,9.53E-03,9.53E-03,9.53E-03,9.53E-03,9.53E-03,9.53E-03,9.53E-03,9.53E-03,9.53E-03,9.53E-03,9.53E-03,9.53E-03,9.53E-03,9.53E-03,9.53E-03,9.53E-03,9.53E-03,9.53E-03,9.53E-03,9.53E-03,9.53E-03,9.53E-03,9.53E-03,9.53E-03,9.53E-03,9.53E-03,9.53E-03,9.53E-03,9.53E-03,9.53E-03,9.53E-03,9.53E-03,9.53E-03
-0.993,-8.92E-03,-1.15E-02,-1.51E-02,-2.02E-02,-2.70E-02,-3.57E-02,-4.63E-02,-5.57E-02,-6.56E-02,-7.65E-02,-8.08E-02,-7.70E-02,-6.65E-02,-5.14E-02,-3.31E-02,-1.26E-02,8.08E-03,9.54E-03,9.54E-03,9.54E-03,9.54E-03,9.54E-03,9.54E-03,9.54E-03,9.54E-03,9.54E-03,9.54E-03,9.54E-03,9.54E-03,9.54E-03,9.54E-03,9.54E-03,9.54E-03,9.54E-03,9.54E-03,9.54E-03,9.54E-03,9.54E-03,9.54E-03,9.54E-03,9.54E-03,9.54E-03,9.54E-03,9.54E-03,9.54E-03,9.54E-03,9.54E-03,9.54E-03,9.54E-03,9.54E-03,9.54E-03,9.54E-03,9.54E-03,9.54E-03,9.54E-03,9.54E-03,9.54E-03,9.54E-03,9.54E-03,9.54E-03,9.54E-03,9.54E-03,9.54E-03,9.54E-03,9.54E-03
-0.991,-9.34E-03,-1.21E-02,-1.58E-02,-2.10E-02,-2.78E-02,-3.65E-02,-4.63E-02,-5.50E-02,-6.40E-02,-7.38E-02,-7.61E-02,-7.14E-02,-6.10E-02,-4.68E-02,-2.99E-02,-1.11E-02,8.13E-03,9.55E-03,9.55E-03,9.55E-03,9.55E-03,9.55E-03,9.55E-03,9.55E-03,9.55E-03,9.55E-03,9.55E-03,9.55E-03,9.55E-03,9.55E-03,9.55E-03,9.55E-03,9.55E-03,9.55E-03,9.55E-03,9.55E-03,9.55E-03,9.55E-03,9.55E-03,9.55E-03,9.55E-03,9.55E-03,9.55E-03,9.55E-03,9.55E-03,9.55E-03,9.55E-03,9.55E-03,9.55E-03,9.55E-03,9.55E-03,9.55E-03,9.55E-03,9.55E-03,9.55E-03,9.55E-03,9.55E-03,9.55E-03,9.55E-03,9.55E-03,9.55E-03,9.55E-03,9.55E-03,9.55E-03,9.55E-03
-0.989,-9.75E-03,-1.26E-02,-1.65E-02,-2.18E-02,-2.87E-02,-3.72E-02,-4.62E-02,-5.43E-02,-6.23E-02,-7.11E-02,-7.14E-02,-6.59E-02,-5.56E-02,-4.21E-02,-2.67E-02,-9.60E-03,8.18E-03,9.56E-03,9.56E-03,9.56E-03,9.56E-03,9.56E-03,9.56E-03,9.56E-03,9.56E-03,9.56E-03,9.56E-03,9.56E-03,9.56E-03,9.56E-03,9.56E-03,9.56E-03,9.56E-03,9.56E-03,9.56E-03,9.56E-03,9.56E-03,9.56E-03,9.56E-03,9.56E-03,9.56E-03,9.56E-03,9.56E-03,9.56E-03,9.56E-03,9.56E-03,9.56E-03,9.56E-03,9.56E-03,9.56E-03,9.56E-03,9.56E-03,9.56E-03,9.56E-03,9.56E-03,9.56E-03,9.56E-03,9.56E-03,9.56E-03,9.56E-03,9.56E-03,9.56E-03,9.56E-03,9.56E-03,9.56E-03
-0.987,-1.06E-02,-1.37E-02,-1.78E-02,-2.32E-02,-3.01E-02,-3.82E-02,-4.62E-02,-5.43E-02,-6.23E-02,-6.55E-02,-6.40E-02,-5.77E-02,-4.77E-02,-3.57E-02,-2.23E-02,-7.52E-03,8.25E-03,9.58E-03,9.58E-03,9.58E-03,9.58E-03,9.58E-03,9.58E-03,9.58E-03,9.58E-03,9.58E-03,9.58E-03,9.58E-03,9.58E-03,9.58E-03,9.58E-03,9.58E-03,9.58E-03,9.58E-03,9.58E-03,9.58E-03,9.58E-03,9.58E-03,9.58E-03,9.58E-03,9.58E-03,9.58E-03,9.58E-03,9.58E-03,9.58E-03,9.58E-03,9.58E-03,9.58E-03,9.58E-03,9.58E-03,9.58E-03,9.58E-03,9.58E-03,9.58E-03,9.58E-03,9.58E-03,9.58E-03,9.58E-03,9.58E-03,9.58E-03,9.58E-03,9.58E-03,9.58E-03,9.58E-03,9.58E-03
-0.985,-1.14E-02,-1.47E-02,-1.90E-02,-2.45E-02,-3.13E-02,-3.90E-02,-4.62E-02,-5.43E-02,-5.92E-02,-6.07E-02,-5.79E-02,-5.12E-02,-4.17E-02,-3.09E-02,-1.91E-02,-5.98E-03,8.31E-03,9.60E-03,9.60E-03,9.60E-03,9.60E-03,9.60E-03,9.60E-03,9.60E-03,9.60E-03,9.60E-03,9.60E-03,9.60E-03,9.60E-03,9.60E-03,9.60E-03,9.60E-03,9.60E-03,9.60E-03,9.60E-03,9.60E-03,9.60E-03,9.60E-03,9.60E-03,9.60E-03,9.60E-03,9.60E-03,9.60E-03,9.60E-03,9.60E-03,9.60E-03,9.60E-03,9.60E-03,9.60E-03,9.60E-03,9.60E-03,9.60E-03,9.60E-03,9.60E-03,9.60E-03,9.60E-03,9.60E-03,9.60E-03,9.60E-03,9.60E-03,9.60E-03,9.60E-03,9.60E-03,9.60E-03,9.60E-03
-0.983,-1.22E-02,-1.57E-02,-2.01E-02,-2.56E-02,-3.23E-02,-3.95E-02,-4.62E-02,-5.28E-02,-5.63E-02,-5.65E-02,-5.28E-02,-4.60E-02,-3.70E-02,-2.72E-02,-1.66E-02,-4.78E-03,8.36E-03,9.62E-03,9.62E-03,9.62E-03,9.62E-03,9.62E-03,9.62E-03,9.62E-03,9.62E-03,9.62E-03,9.62E-03,9.62E-03,9.62E-03,9.62E-03,9.62E-03,9.62E-03,9.62E-03,9.62E-03,9.62E-03,9.62E-03,9.62E-03,9.62E-03,9.62E-03,9.62E-03,9.62E-03,9.62E-03,9.62E-03,9.62E-03,9.62E-03,9.62E-03,9.62E-03,9.62E-03,9.62E-03,9.62E-03,9.62E-03,9.62E-03,9.62E-03,9.62E-03,9.62E-03,9.62E-03,9.62E-03,9.62E-03,9.62E-03,9.62E-03,9.62E-03,9.62E-03,9.62E-03,9.62E-03,9.61E-03
-0.981,-1.29E-02,-1.66E-02,-2.11E-02,-2.67E-02,-3.31E-02,-3.96E-02,-4.62E-02,-5.12E-02,-5.36E-02,-5.27E-02,-4.85E-02,-4.16E-02,-3.32E-02,-2.42E-02,-1.46E-02,-3.82E-03,8.40E-03,9.63E-03,9.63E-03,9.63E-03,9.63E-03,9.63E-03,9.63E-03,9.63E-03,9.63E-03,9.63E-03,9.63E-03,9.63E-03,9.63E-03,9.63E-03,9.63E-03,9.63E-03,9.63E-03,9.63E-03,9.63E-03,9.63E-03,9.63E-03,9.63E-03,9.63E-03,9.63E-03,9.63E-03,9.63E-03,9.63E-03,9.63E-03,9.63E-03,9.63E-03,9.63E-03,9.63E-03,9.63E-03,9.63E-03,9.63E-03,9.63E-03,9.63E-03,9.63E-03,9.63E-03,9.63E-03,9.63E-03,9.63E-03,9.63E-03,9.63E-03,9.63E-03,9.63E-03,9.63E-03,9.63E-03,9.63E-03
