Position,theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,theta13,theta14,theta15,theta16,theta17,theta18,theta19,theta20,theta21,theta22,theta23,theta24,theta25,theta26,theta27,theta28,theta29,theta30,theta31,theta32,theta33,theta34,theta35,theta36,theta37,theta38,theta39,theta40,theta41,theta42,theta43,theta44,theta45,theta46,theta47,theta48,theta49,theta50,theta51,theta52,theta53,theta54,theta55,theta56,theta57,theta58,theta59,theta60,theta61,theta62,theta63,theta64,theta65
-0.999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.997,-1.32220999519086e-06,-8.03399210854197e-07,-1.89099753783237e-07,3.98574590676273e-07,9.91060698780478e-07,1.63188633390745e-06,2.36417650320647e-06,3.0235045652765e-06,4.02799486733272e-06,4.72195033701471e-06,5.05815372220423e-06,4.7620789524291e-06,3.63155776647817e-06,2.23545225032035e-06,2.25633182101887e-06,3.62354850082812e-06,5.40456734124629e-06,5.50627609847651e-06,5.50627609847651e-06,5.50627609847651e-06,5.50627609847651e-06,5.50627609847651e-06,5.50627609847651e-06,5.50627609847651e-06,5.50627609847651e-06,5.50627609847651e-06,5.50627609847651e-06,5.50627609847651e-06,5.50627609847651e-06,5.50627609847651e-06,5.50627609847651e-06,5.50627609847651e-06,5.50627609847651e-06,5.50627609847651e-06,5.50627609847651e-06,5.50627609847651e-06,5.50627609847651e-06,5.50627609847651e-06,5.50627609847651e-06,5.50627609847651e-06,5.50627609847651e-06,5.50627609847651e-06,5.50627609847651e-06,5.50627609847651e-06,5.50627609847651e-06,5.50627609847651e-06,5.50627609847651e-06,5.50627609847651e-06,5.50627609847651e-06,5.50627609847651e-06,5.50627609847651e-06,5.50627609847651e-06,5.50627609847651e-06,5.50627609847651e-06,5.50627609847651e-06,5.50627609847651e-06,5.50627609847651e-06,5.50627609847651e-06,5.50627609847651e-06,5.50627609847651e-06,5.50627609847651e-06,5.50627609847651e-06,5.50627609847651e-06,5.50627609847651e-06,5.50806126592445e-06
-0.995,-2.64441999038173e-06,-1.60679842170839e-06,-3.78199507566474e-07,7.97149181352547e-07,1.98212139756096e-06,3.26377266781489e-06,4.72835300641293e-06,6.047009130553e-06,8.05598973466543e-06,9.44390067402941e-06,1.01163074444085e-05,9.52415790485821e-06,7.26311553295634e-06,4.4709045006407e-06,4.51266364203773e-06,7.24709700165623e-06,1.08091346824926e-05,1.1012552196953e-05,1.1012552196953e-05,1.1012552196953e-05,1.1012552196953e-05,1.1012552196953e-05,1.1012552196953e-05,1.1012552196953e-05,1.1012552196953e-05,1.1012552196953e-05,1.1012552196953e-05,1.1012552196953e-05,1.1012552196953e-05,1.1012552196953e-05,1.1012552196953e-05,1.1012552196953e-05,1.1012552196953e-05,1.1012552196953e-05,1.1012552196953e-05,1.1012552196953e-05,1.1012552196953e-05,1.1012552196953e-05,1.1012552196953e-05,1.1012552196953e-05,1.1012552196953e-05,1.1012552196953e-05,1.1012552196953e-05,1.1012552196953e-05,1.1012552196953e-05,1.1012552196953e-05,1.1012552196953e-05,1.1012552196953e-05,1.1012552196953e-05,1.1012552196953e-05,1.1012552196953e-05,1.1012552196953e-05,1.1012552196953e-05,1.1012552196953e-05,1.1012552196953e-05,1.1012552196953e-05,1.1012552196953e-05,1.1012552196953e-05,1.1012552196953e-05,1.1012552196953e-05,1.1012552196953e-05,1.1012552196953e-05,1.1012552196953e-05,1.1012552196953e-05,1.10161225318489e-05
-0.993,-3.96662998557259e-06,-2.41019763256259e-06,-5.67299261349711e-07,1.19572377202882e-06,2.97318209634143e-06,4.89565900172234e-06,7.0925295096194e-06,9.07051369582951e-06,1.20839846019981e-05,1.41658510110441e-05,1.51744611666127e-05,1.42862368572873e-05,1.08946732994345e-05,6.70635675096105e-06,6.7689954630566e-06,1.08706455024843e-05,1.62137020237389e-05,1.65188282954295e-05,1.65188282954295e-05,1.65188282954295e-05,1.65188282954295e-05,1.65188282954295e-05,1.65188282954295e-05,1.65188282954295e-05,1.65188282954295e-05,1.65188282954295e-05,1.65188282954295e-05,1.65188282954295e-05,1.65188282954295e-05,1.65188282954295e-05,1.65188282954295e-05,1.65188282954295e-05,1.65188282954295e-05,1.65188282954295e-05,1.65188282954295e-05,1.65188282954295e-05,1.65188282954295e-05,1.65188282954295e-05,1.65188282954295e-05,1.65188282954295e-05,1.65188282954295e-05,1.65188282954295e-05,1.65188282954295e-05,1.65188282954295e-05,1.65188282954295e-05,1.65188282954295e-05,1.65188282954295e-05,1.65188282954295e-05,1.65188282954295e-05,1.65188282954295e-05,1.65188282954295e-05,1.65188282954295e-05,1.65188282954295e-05,1.65188282954295e-05,1.65188282954295e-05,1.65188282954295e-05,1.65188282954295e-05,1.65188282954295e-05,1.65188282954295e-05,1.65188282954295e-05,1.65188282954295e-05,1.65188282954295e-05,1.65188282954295e-05,1.65188282954295e-05,1.65241837977733e-05
-0.991,-5.28883998076346e-06,-3.21359684341679e-06,-7.56399015132948e-07,1.59429836270509e-06,3.96424279512191e-06,6.52754533562978e-06,9.45670601282587e-06,1.2094018261106e-05,1.61119794693309e-05,1.88878013480588e-05,2.02326148888169e-05,1.90483158097164e-05,1.45262310659127e-05,8.94180900128141e-06,9.02532728407547e-06,1.44941940033125e-05,2.16182693649852e-05,2.2025104393906e-05,2.2025104393906e-05,2.2025104393906e-05,2.2025104393906e-05,2.2025104393906e-05,2.2025104393906e-05,2.2025104393906e-05,2.2025104393906e-05,2.2025104393906e-05,2.2025104393906e-05,2.2025104393906e-05,2.2025104393906e-05,2.2025104393906e-05,2.2025104393906e-05,2.2025104393906e-05,2.2025104393906e-05,2.2025104393906e-05,2.2025104393906e-05,2.2025104393906e-05,2.2025104393906e-05,2.2025104393906e-05,2.2025104393906e-05,2.2025104393906e-05,2.2025104393906e-05,2.2025104393906e-05,2.2025104393906e-05,2.2025104393906e-05,2.2025104393906e-05,2.2025104393906e-05,2.2025104393906e-05,2.2025104393906e-05,2.2025104393906e-05,2.2025104393906e-05,2.2025104393906e-05,2.2025104393906e-05,2.2025104393906e-05,2.2025104393906e-05,2.2025104393906e-05,2.2025104393906e-05,2.2025104393906e-05,2.2025104393906e-05,2.2025104393906e-05,2.2025104393906e-05,2.2025104393906e-05,2.2025104393906e-05,2.2025104393906e-05,2.2025104393906e-05,2.20322450636978e-05
-0.989,-6.61104997595432e-06,-4.01699605427098e-06,-9.45498768916185e-07,1.99287295338137e-06,4.95530349390239e-06,8.15943166953723e-06,1.18208825160323e-05,1.51175228263825e-05,2.01399743366636e-05,2.36097516850735e-05,2.52907686110211e-05,2.38103947621455e-05,1.81577888323908e-05,1.11772612516018e-05,1.12816591050943e-05,1.81177425041406e-05,2.70228367062315e-05,2.75313804923825e-05,2.75313804923825e-05,2.75313804923825e-05,2.75313804923825e-05,2.75313804923825e-05,2.75313804923825e-05,2.75313804923825e-05,2.75313804923825e-05,2.75313804923825e-05,2.75313804923825e-05,2.75313804923825e-05,2.75313804923825e-05,2.75313804923825e-05,2.75313804923825e-05,2.75313804923825e-05,2.75313804923825e-05,2.75313804923825e-05,2.75313804923825e-05,2.75313804923825e-05,2.75313804923825e-05,2.75313804923825e-05,2.75313804923825e-05,2.75313804923825e-05,2.75313804923825e-05,2.75313804923825e-05,2.75313804923825e-05,2.75313804923825e-05,2.75313804923825e-05,2.75313804923825e-05,2.75313804923825e-05,2.75313804923825e-05,2.75313804923825e-05,2.75313804923825e-05,2.75313804923825e-05,2.75313804923825e-05,2.75313804923825e-05,2.75313804923825e-05,2.75313804923825e-05,2.75313804923825e-05,2.75313804923825e-05,2.75313804923825e-05,2.75313804923825e-05,2.75313804923825e-05,2.75313804923825e-05,2.75313804923825e-05,2.75313804923825e-05,2.75313804923825e-05,2.75403063296222e-05
-0.987,-7.93325997114519e-06,-4.82039526512518e-06,-1.13459852269942e-06,2.39144754405764e-06,5.94636419268287e-06,9.79131800344467e-06,1.41850590192388e-05,1.8141027391659e-05,2.41679692039963e-05,2.83317020220882e-05,3.03489223332254e-05,2.85724737145746e-05,2.1789346598869e-05,1.34127135019221e-05,1.35379909261132e-05,2.17412910049687e-05,3.24274040474778e-05,3.3037656590859e-05,3.3037656590859e-05,3.3037656590859e-05,3.3037656590859e-05,3.3037656590859e-05,3.3037656590859e-05,3.3037656590859e-05,3.3037656590859e-05,3.3037656590859e-05,3.3037656590859e-05,3.3037656590859e-05,3.3037656590859e-05,3.3037656590859e-05,3.3037656590859e-05,3.3037656590859e-05,3.3037656590859e-05,3.3037656590859e-05,3.3037656590859e-05,3.3037656590859e-05,3.3037656590859e-05,3.3037656590859e-05,3.3037656590859e-05,3.3037656590859e-05,3.3037656590859e-05,3.3037656590859e-05,3.3037656590859e-05,3.3037656590859e-05,3.3037656590859e-05,3.3037656590859e-05,3.3037656590859e-05,3.3037656590859e-05,3.3037656590859e-05,3.3037656590859e-05,3.3037656590859e-05,3.3037656590859e-05,3.3037656590859e-05,3.3037656590859e-05,3.3037656590859e-05,3.3037656590859e-05,3.3037656590859e-05,3.3037656590859e-05,3.3037656590859e-05,3.3037656590859e-05,3.3037656590859e-05,3.3037656590859e-05,3.3037656590859e-05,3.3037656590859e-05,3.30483675955467e-05
-0.985,-9.25546996633605e-06,-5.62379447597938e-06,-1.32369827648266e-06,2.79002213473391e-06,6.93742489146334e-06,1.14232043373521e-05,1.65492355224453e-05,2.11645319569355e-05,2.8195964071329e-05,3.3053652359103e-05,3.54070760554296e-05,3.33345526670037e-05,2.54209043653472e-05,1.56481657522425e-05,1.57943227471321e-05,2.53648395057968e-05,3.7831971388724e-05,3.85439326893355e-05,3.85439326893355e-05,3.85439326893355e-05,3.85439326893355e-05,3.85439326893355e-05,3.85439326893355e-05,3.85439326893355e-05,3.85439326893355e-05,3.85439326893355e-05,3.85439326893355e-05,3.85439326893355e-05,3.85439326893355e-05,3.85439326893355e-05,3.85439326893355e-05,3.85439326893355e-05,3.85439326893355e-05,3.85439326893355e-05,3.85439326893355e-05,3.85439326893355e-05,3.85439326893355e-05,3.85439326893355e-05,3.85439326893355e-05,3.85439326893355e-05,3.85439326893355e-05,3.85439326893355e-05,3.85439326893355e-05,3.85439326893355e-05,3.85439326893355e-05,3.85439326893355e-05,3.85439326893355e-05,3.85439326893355e-05,3.85439326893355e-05,3.85439326893355e-05,3.85439326893355e-05,3.85439326893355e-05,3.85439326893355e-05,3.85439326893355e-05,3.85439326893355e-05,3.85439326893355e-05,3.85439326893355e-05,3.85439326893355e-05,3.85439326893355e-05,3.85439326893355e-05,3.85439326893355e-05,3.85439326893355e-05,3.85439326893355e-05,3.85439326893355e-05,3.85564288614711e-05
-0.983,-1.05776799615269e-05,-6.42719368683357e-06,-1.5127980302659e-06,3.18859672541019e-06,7.92848559024382e-06,1.30550906712596e-05,1.89134120256517e-05,2.4188036522212e-05,3.22239589386617e-05,3.77756026961177e-05,4.04652297776338e-05,3.80966316194328e-05,2.90524621318254e-05,1.78836180025628e-05,1.80506545681509e-05,2.89883880066249e-05,4.32365387299703e-05,4.4050208787812e-05,4.4050208787812e-05,4.4050208787812e-05,4.4050208787812e-05,4.4050208787812e-05,4.4050208787812e-05,4.4050208787812e-05,4.4050208787812e-05,4.4050208787812e-05,4.4050208787812e-05,4.4050208787812e-05,4.4050208787812e-05,4.4050208787812e-05,4.4050208787812e-05,4.4050208787812e-05,4.4050208787812e-05,4.4050208787812e-05,4.4050208787812e-05,4.4050208787812e-05,4.4050208787812e-05,4.4050208787812e-05,4.4050208787812e-05,4.4050208787812e-05,4.4050208787812e-05,4.4050208787812e-05,4.4050208787812e-05,4.4050208787812e-05,4.4050208787812e-05,4.4050208787812e-05,4.4050208787812e-05,4.4050208787812e-05,4.4050208787812e-05,4.4050208787812e-05,4.4050208787812e-05,4.4050208787812e-05,4.4050208787812e-05,4.4050208787812e-05,4.4050208787812e-05,4.4050208787812e-05,4.4050208787812e-05,4.4050208787812e-05,4.4050208787812e-05,4.4050208787812e-05,4.4050208787812e-05,4.4050208787812e-05,4.4050208787812e-05,4.4050208787812e-05,4.40644901273956e-05
-0.981,-1.18998899567178e-05,-7.23059289768777e-06,-1.70189778404913e-06,3.58717131608646e-06,8.9195462890243e-06,1.4686977005167e-05,2.12775885288582e-05,2.72115410874885e-05,3.62519538059945e-05,4.24975530331324e-05,4.55233834998381e-05,4.28587105718619e-05,3.26840198983035e-05,2.01190702528832e-05,2.03069863891698e-05,3.2611936507453e-05,4.86411060712166e-05,4.95564848862885e-05,4.95564848862885e-05,4.95564848862885e-05,4.95564848862885e-05,4.95564848862885e-05,4.95564848862885e-05,4.95564848862885e-05,4.95564848862885e-05,4.95564848862885e-05,4.95564848862885e-05,4.95564848862885e-05,4.95564848862885e-05,4.95564848862885e-05,4.95564848862885e-05,4.95564848862885e-05,4.95564848862885e-05,4.95564848862885e-05,4.95564848862885e-05,4.95564848862885e-05,4.95564848862885e-05,4.95564848862885e-05,4.95564848862885e-05,4.95564848862885e-05,4.95564848862885e-05,4.95564848862885e-05,4.95564848862885e-05,4.95564848862885e-05,4.95564848862885e-05,4.95564848862885e-05,4.95564848862885e-05,4.95564848862885e-05,4.95564848862885e-05,4.95564848862885e-05,4.95564848862885e-05,4.95564848862885e-05,4.95564848862885e-05,4.95564848862885e-05,4.95564848862885e-05,4.95564848862885e-05,4.95564848862885e-05,4.95564848862885e-05,4.95564848862885e-05,4.95564848862885e-05,4.95564848862885e-05,4.95564848862885e-05,4.95564848862885e-05,4.95564848862885e-05,4.957255139332e-05
